playerName,teamLong,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Andrew Miller,Indians,CLE,AL,26,0,4,2,0,0,0,0,0,65,43,0,16,5,18,97,453192,6785,0,26,RP
Dellin Betances,Yankees,NYY,AL,73,0,4,2,0,0,0,0,0,65,43,0,18,5,25,98,476454,6216,0,73,RP
Aroldis Chapman,Yankees,NYY,AL,28,0,4,2,0,0,0,0,0,65,40,0,17,5,26,104,547973,10233,0,28,RP
Clayton Kershaw,Dodgers,LAD,NL,23,31,16,7,0,0,0,0,0,207,164,0,55,17,36,248,477132,2036,21,0,SP
Kenley Jansen,Dodgers,LAD,NL,72,0,4,2,0,0,0,0,0,65,45,0,19,6,16,92,445276,3096,0,72,RP
Zach Britton,Orioles,BAL,AL,69,0,4,2,0,0,0,0,0,65,54,0,18,4,21,74,502154,3240,0,69,RP|SP
Carter Capps,Padres,SDP,NL,45,0,2,2,0,0,0,0,0,45,33,0,14,4,17,62,605169,12803,0,0,RP
Noah Syndergaard,Mets,NYM,NL,31,32,13,10,0,0,0,0,0,199,168,0,68,18,51,234,592789,11762,30,1,SP
Edwin Diaz,Mariners,SEA,AL,49,0,4,3,0,0,0,0,0,65,50,0,20,6,20,81,621242,14710,0,49,RP
Wade Davis,Cubs,CHC,NL,45,0,4,3,0,0,0,0,0,65,51,0,20,5,22,79,451584,7441,0,45,RP|SP
Ken Giles,Astros,HOU,AL,69,0,4,3,0,0,0,0,0,65,49,0,21,6,24,85,571704,12910,0,69,RP
Mark Melancon,Giants,SFG,NL,45,0,4,3,0,0,0,0,0,65,59,0,21,4,16,62,453343,4264,0,45,RP
Brett Cecil,Cardinals,STL,NL,54,0,3,2,0,0,0,0,0,55,46,0,18,4,18,63,446399,2660,0,54,RP
Grant Dayton,Dodgers,LAD,NL,25,0,4,3,0,0,0,0,0,65,50,0,21,7,21,82,594795,11203,0,25,RP
Craig Kimbrel,Red Sox,BOS,AL,57,0,4,3,0,0,0,0,0,65,48,0,22,6,28,87,518886,6655,0,57,RP
Max Scherzer,Nationals,WSN,NL,34,31,15,8,0,0,0,0,0,203,168,0,72,24,47,245,453286,3137,34,0,SP
