playerName,team,league,G,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,mlbamID,playerid,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos
Mike Trout,LAA,AL,114,546,169,33,5,38,116,133,117,125,10,25,6,545361,10155,0,0,0,0,0,0,108,0,108,CF
Bryce Harper,WSH,NL,111,533,166,35,2,38,105,127,101,126,3,8,3,547180,11579,0,0,0,0,0,0,0,110,110,RF
Joey Votto,CIN,NL,162,547,171,34,2,30,103,122,126,93,6,5,1,458015,4314,0,162,0,0,0,0,0,0,0,1B
Freddie Freeman,ATL,NL,117,557,171,42,3,34,102,120,85,130,9,5,1,518692,5361,0,105,0,16,0,0,0,0,0,1B
Kris Bryant,CHC,NL,151,574,168,38,4,35,114,122,95,136,14,6,2,592178,15429,0,2,0,144,0,2,2,7,9,3B
Aaron Judge,NYY,AL,155,546,147,26,3,44,118,128,109,193,7,5,1,592450,15640,0,0,0,0,0,0,0,141,141,RF
Josh Donaldson,TOR,AL,113,551,158,33,2,37,119,119,98,132,7,5,1,518626,5038,0,0,0,105,4,0,0,0,0,3B
Paul Goldschmidt,ARI,NL,155,569,173,35,3,32,99,118,100,144,6,19,3,502671,9218,0,151,0,0,0,0,0,0,0,1B
Giancarlo Stanton,NYY,NL,159,548,150,30,1,48,113,131,79,159,6,4,2,519317,4949,0,0,0,0,0,0,0,149,149,RF
Charlie Blackmon,COL,NL,159,622,196,36,10,32,126,112,63,120,12,14,4,453568,7859,0,0,0,0,0,0,158,0,158,LF
J.D. Martinez,BOS,NL,62,527,156,32,2,36,98,115,62,148,3,4,1,502110,6184,0,0,0,0,0,0,0,60,60,RF
Nolan Arenado,COL,NL,159,605,182,41,6,39,106,123,67,104,3,5,3,571448,9777,0,0,0,157,0,0,0,0,0,3B
Anthony Rizzo,CHC,NL,157,568,161,33,3,33,99,116,84,97,23,5,2,519203,3473,0,157,10,1,0,1,0,0,1,1B
Carlos Correa,HOU,AL,109,563,169,35,3,32,95,115,71,117,3,8,1,621043,14162,0,0,0,0,108,0,0,0,0,SS
Jose Altuve,HOU,AL,153,617,203,42,4,23,101,104,62,78,8,31,7,514888,5417,0,0,149,0,0,0,0,0,0,2B
Rhys Hoskins,PHI,NL,50,541,146,30,3,35,99,116,92,131,10,5,2,656555,16472,0,27,0,0,0,30,0,0,30,
Michael Conforto,NYM,NL,109,452,128,24,2,25,100,83,66,127,7,5,2,624424,16376,0,0,0,0,0,52,43,11,97,LF
Brandon Belt,SF,NL,104,528,145,38,6,22,84,100,92,137,4,5,2,474832,10264,0,98,0,0,0,15,0,1,15,1B
Mookie Betts,BOS,AL,153,615,184,43,5,27,121,100,71,81,2,26,4,605141,13611,0,0,0,0,0,0,0,153,153,RF
George Springer,HOU,AL,140,572,159,30,3,32,128,97,73,126,11,8,3,543807,12856,0,0,0,0,0,0,84,78,131,RF
Anthony Rendon,WSH,NL,147,536,154,39,1,23,85,101,80,94,7,5,2,543685,12861,0,0,0,145,0,0,0,0,0,2B
Corey Seager,LAD,NL,145,577,172,37,3,25,105,97,71,134,5,5,2,608369,13624,0,0,0,0,138,0,0,0,0,SS
Gary Sanchez,NYY,AL,122,507,142,27,0,34,93,105,52,124,8,3,1,596142,11442,104,2,0,0,0,0,0,0,0,C
Nelson Cruz,SEA,AL,155,569,162,25,1,36,97,115,65,144,9,2,1,443558,2434,0,0,0,0,0,0,0,5,5,RF
Justin Turner,LAD,NL,130,533,158,33,1,22,89,91,64,79,16,5,1,457759,5235,0,0,0,121,0,0,0,0,0,3B
Jose Ramirez,CLE,AL,152,621,188,47,5,24,94,99,59,68,3,17,4,608070,13510,0,0,71,88,0,0,0,0,0,3B
Kyle Schwarber,CHC,NL,129,491,125,25,2,32,89,101,76,155,6,3,1,656941,16478,4,1,0,0,0,110,0,0,110,LF
Matt Carpenter,STL,NL,145,508,134,32,3,22,111,87,100,121,7,4,2,572761,8090,0,120,13,16,0,0,0,0,0,1B
Cody Bellinger,LAD,NL,132,558,149,32,4,36,98,112,73,160,4,10,2,641355,15998,0,93,0,0,0,39,4,5,46,1B
Jose Abreu,CWS,AL,156,609,181,37,3,32,99,106,42,123,15,3,1,547989,15676,0,139,0,0,0,0,0,0,0,1B
Joey Gallo,TEX,AL,145,521,119,23,4,41,107,117,94,202,5,5,1,608336,14128,0,59,0,72,0,18,0,0,18,3B
Tommy Pham,STL,NL,128,542,154,27,4,22,104,89,80,137,6,25,6,502054,2967,0,0,0,0,0,86,37,1,119,LF
Miguel Sano,MIN,AL,114,458,120,24,2,30,82,91,62,169,3,1,0,593934,12164,0,9,0,82,0,0,0,0,0,3B
Yoenis Cespedes,NYM,NL,81,543,155,33,3,31,98,96,52,116,5,3,1,493316,13110,0,0,0,0,0,74,0,0,74,LF
Edwin Encarnacion,CLE,AL,157,549,142,27,0,35,96,112,89,133,6,1,0,429665,2151,0,23,0,0,0,0,0,0,0,1B
Christian Yelich,MIL,NL,156,607,179,38,3,22,106,94,76,131,4,19,4,592885,11477,0,0,0,0,0,0,155,0,155,LF
Willson Contreras,CHC,NL,117,487,136,26,2,23,80,90,61,118,8,4,2,575929,11609,108,5,0,1,0,4,0,2,6,LF
Andrew Benintendi,BOS,AL,151,590,171,31,7,24,101,95,75,112,6,22,6,643217,17901,0,0,0,0,0,123,30,0,149,LF
Miguel Cabrera,DET,AL,130,508,150,27,1,22,82,84,63,104,3,0,0,408234,1744,0,115,0,0,0,0,0,0,0,1B
Adrian Beltre,TEX,AL,94,512,152,28,2,22,80,85,54,79,5,1,0,134181,639,0,0,0,65,0,0,0,0,0,3B
Daniel Murphy,WSH,NL,144,516,161,34,3,19,74,84,43,69,5,3,1,502517,4316,0,0,139,0,0,0,0,0,0,2B
Mitch Haniger,SEA,AL,96,522,146,36,5,23,84,92,53,125,11,8,3,571745,14274,0,0,0,0,0,2,6,94,96,LF
