"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Max Scherzer","Nationals","3","1","0","4","4","27.0","12.67","1.33","0.67",".218","72.4 %","39.3 %","6.5 %","1.33","1.66","2.43","1.1","3137"
"Jose Berrios","Twins","2","1","0","3","3","20.2","10.45","0.44","0.44",".229","71.4 %","42.6 %","5.6 %","2.18","1.66","2.35","1.0","14168"
"Dylan Bundy","Orioles","0","1","0","3","3","20.0","11.25","2.25","0.45",".283","85.2 %","41.3 %","5.9 %","1.35","1.96","2.60","0.9","12917"
"Rick Porcello","Red Sox","3","0","0","3","3","19.2","7.78","0.46","0.00",".250","75.0 %","51.8 %","0.0 %","1.83","1.64","3.41","0.8","2717"
"Gerrit Cole","Astros","1","0","0","3","3","21.0","15.43","1.71","1.29",".212","100.0 %","22.9 %","17.6 %","1.29","2.21","1.57","0.8","13125"
"Chris Sale","Red Sox","1","0","0","3","3","17.0","12.18","1.59","0.53",".333","96.2 %","30.8 %","6.3 %","1.06","1.65","2.31","0.8","10603"
"Nick Pivetta","Phillies","1","0","0","3","3","16.2","10.26","1.08","0.00",".326","70.6 %","43.9 %","0.0 %","2.70","1.32","2.41","0.8","15454"
"Corey Kluber","Indians","1","1","0","3","3","23.0","10.57","1.57","0.78",".188","90.2 %","49.0 %","12.5 %","1.57","2.37","2.29","0.8","2429"
"Luis Severino","Yankees","2","1","0","3","3","18.0","10.00","3.50","0.00",".304","66.7 %","58.7 %","0.0 %","3.50","2.01","2.85","0.6","15890"
"Zack Godley","Diamondbacks","2","0","0","2","2","14.0","7.71","0.64","0.00",".222","88.9 %","57.1 %","0.0 %","0.64","1.56","2.54","0.6","14862"
"Patrick Corbin","Diamondbacks","2","0","0","3","3","18.1","14.24","1.96","0.98",".306","84.5 %","62.2 %","25.0 %","2.45","1.97","1.21","0.6","9323"
"Vince Velasquez","Phillies","1","1","0","3","3","15.1","9.98","2.35","0.00",".362","57.1 %","37.8 %","0.0 %","3.52","1.63","3.21","0.6","11189"
"Alex Wood","Dodgers","0","2","0","3","3","17.2","7.64","0.00","0.51",".241","31.8 %","56.6 %","6.3 %","5.09","2.10","2.74","0.6","13781"
"Trevor Bauer","Indians","1","1","0","3","3","20.0","9.45","3.15","0.45",".259","84.1 %","37.7 %","4.3 %","2.25","2.96","4.05","0.5","12703"
"Ian Kennedy","Royals","1","1","0","3","3","18.0","8.00","2.00","0.50",".275","96.6 %","28.0 %","5.3 %","1.00","2.68","3.55","0.5","6986"
"Justin Verlander","Astros","2","0","0","3","3","18.2","11.09","1.93","0.96",".273","92.6 %","26.1 %","8.3 %","1.45","2.80","3.35","0.5","8700"
"Luke Weaver","Cardinals","2","0","0","3","3","17.1","8.83","2.60","0.52",".250","83.3 %","45.5 %","5.3 %","2.08","2.72","3.63","0.5","16918"
"Daniel Mengden","Athletics","1","2","0","3","3","16.0","6.75","1.13","0.56",".316","35.7 %","35.1 %","5.3 %","6.19","2.75","3.73","0.5","16980"
"Jameson Taillon","Pirates","2","0","0","3","3","20.1","7.97","2.21","0.44",".160","95.6 %","58.8 %","7.7 %","0.89","2.82","3.15","0.5","11674"
"Jacob deGrom","Mets","2","0","0","3","3","17.2","9.17","2.55","0.51",".292","71.4 %","50.0 %","7.7 %","3.06","2.78","3.16","0.5","10954"
"Jon Gray","Rockies","1","3","0","4","4","21.2","9.55","2.08","1.25",".385","63.8 %","39.4 %","15.8 %","6.23","3.57","3.10","0.4","14916"
"Charlie Morton","Astros","2","0","0","3","3","18.0","12.50","3.00","1.00",".275","98.9 %","59.5 %","22.2 %","1.00","3.06","2.38","0.4","4676"
"Gio Gonzalez","Nationals","1","1","0","3","3","16.1","11.02","3.86","0.55",".341","83.3 %","40.0 %","6.3 %","2.20","2.70","3.38","0.4","7448"
"Andrew Triggs","Athletics","1","0","0","3","3","15.2","9.77","3.45","0.57",".286","79.6 %","58.1 %","8.3 %","2.87","2.87","3.20","0.4","13533"
"Yonny Chirinos","Rays","0","0","0","3","2","14.1","7.53","1.26","0.00",".222","100.0 %","50.0 %","0.0 %","0.00","2.44","3.49","0.4","16401"
"Derek Holland","Giants","0","2","0","3","3","15.2","9.19","3.45","0.57",".244","44.9 %","35.7 %","4.5 %","4.60","3.00","4.29","0.4","4141"
"Brent Suter","Brewers","1","1","0","3","3","15.1","6.46","2.93","0.59",".308","64.8 %","23.5 %","4.8 %","4.70","3.65","4.87","0.4","13942"
"Kyle Gibson","Twins","1","0","0","3","3","14.2","7.98","6.14","0.00",".304","70.8 %","43.5 %","0.0 %","3.68","3.34","4.99","0.4","10123"
