playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Craig Kimbrel,BOS,AL,67,0,4,2,0,0,0,0,0,65,42,0,19,6,24,100,518886,6655,0,67,RP
Kenley Jansen,LAD,NL,65,0,4,2,0,0,0,0,0,65,46,0,20,7,15,91,445276,3096,0,65,RP
Andrew Miller,CLE,AL,57,0,4,2,0,0,0,0,0,65,47,0,20,6,21,91,453192,6785,0,57,RP
Clayton Kershaw,LAD,NL,27,29,15,7,0,0,0,0,0,190,158,0,58,19,35,218,477132,2036,27,0,SP
Noah Syndergaard,NYM,NL,7,31,13,9,0,0,0,0,0,182,152,0,63,18,46,220,592789,11762,7,0,SP
Dellin Betances,NYY,AL,66,0,3,2,0,0,0,0,0,55,37,0,18,5,26,82,476454,6216,0,66,RP
Aroldis Chapman,NYY,AL,52,0,4,2,0,0,0,0,0,65,45,0,21,7,27,95,547973,10233,0,52,RP
Felipe Rivero,PIT,NL,73,0,4,3,0,0,0,0,0,65,53,0,22,6,24,81,553878,12076,0,73,RP
Chris Sale,BOS,AL,32,29,15,7,0,0,0,0,0,192,155,0,67,23,43,241,519242,10603,32,0,SP
Ken Giles,HOU,AL,63,0,4,3,0,0,0,0,0,65,50,0,23,7,24,86,571704,12910,0,63,RP
Corey Knebel,MIL,NL,76,0,4,3,0,0,0,0,0,65,47,0,23,7,29,93,608349,15010,0,76,RP
Corey Kluber,CLE,AL,29,32,16,8,0,0,0,0,0,213,182,0,78,25,49,245,446372,2429,29,0,SP
Ryan Madson,WSH,AL,40,0,4,3,0,0,0,0,0,65,58,0,23,6,19,70,425492,1852,0,40,RP
Edwin Diaz,SEA,AL,66,0,4,3,0,0,0,0,0,65,50,0,23,7,24,84,621242,14710,0,66,RP
Chad Green,NYY,AL,40,0,3,2,0,0,0,0,0,45,36,0,16,6,13,57,643338,15552,1,39,SP
Zach Britton,BAL,AL,38,0,2,2,0,0,0,0,0,40,37,0,14,3,15,40,502154,3240,0,38,SP
Trevor Rosenthal,STL,NL,50,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,572096,10745,0,50,RP
Max Scherzer,WSH,NL,31,32,15,9,0,0,0,0,0,207,170,0,78,27,56,257,453286,3137,31,0,SP
Walker Buehler,LAD,NL,8,8,4,3,0,0,0,0,0,61,49,0,22,6,25,74,621111,19374,0,8,
Stephen Strasburg,WSH,NL,28,31,14,9,0,0,0,0,0,188,165,0,72,22,52,215,544931,10131,28,0,SP
Justin Wilson,CHC,NL,23,0,2,2,0,0,0,0,0,40,31,0,14,4,18,50,458677,4301,0,23,RP
A.J. Minter,ATL,NL,16,0,3,2,0,0,0,0,0,55,44,0,20,6,23,71,621345,18655,0,16,
Archie Bradley,ARI,NL,63,0,3,3,0,0,0,0,0,65,56,0,25,6,24,74,605151,12918,0,63,SP
Brad Hand,SD,NL,72,0,3,3,0,0,0,0,0,65,55,0,24,7,23,76,543272,9111,0,72,SP
Anthony Swarzak,NYM,AL,41,0,3,3,0,0,0,0,0,65,57,0,24,7,20,72,461872,7466,0,41,RP
Jacob deGrom,NYM,NL,37,32,13,11,0,0,0,0,0,203,179,0,78,24,57,225,594798,10954,31,0,SP
Sean Doolittle,WSH,AL,23,0,4,3,0,0,0,0,0,65,53,0,24,8,19,79,448281,1581,0,23,RP
Raisel Iglesias,CIN,NL,63,0,3,3,0,0,0,0,0,65,54,0,25,8,22,78,628452,17130,0,63,SP
Scott Alexander,LAD,AL,58,0,4,3,0,0,0,0,0,65,60,0,22,4,25,60,518397,10591,0,58,RP
Michael Feliz,PIT,AL,46,0,3,3,0,0,0,0,0,55,47,0,22,6,21,66,593140,11903,0,46,RP
Mark Melancon,SF,NL,32,0,3,3,0,0,0,0,0,65,62,0,24,6,18,57,453343,4264,0,32,RP
James Hoyt,HOU,AL,43,0,2,1,0,0,0,0,0,30,25,0,12,3,11,36,624586,14605,0,43,RP
Roberto Osuna,TOR,AL,66,0,4,3,0,0,0,0,0,65,55,0,25,8,18,75,532077,13764,0,66,RP
Carlos Carrasco,CLE,AL,32,28,12,8,0,0,0,0,0,169,152,0,66,20,43,180,471911,6632,32,0,SP
Pedro Strop,CHC,NL,69,0,3,2,0,0,0,0,0,55,46,0,20,5,23,63,467008,4070,0,69,RP
Chris Archer,TB,AL,34,32,12,11,0,0,0,0,0,196,168,0,76,24,61,222,502042,6345,34,0,SP
Drew Steckenrider,MIA,NL,37,0,3,3,0,0,0,0,0,55,45,0,21,5,25,64,608716,18806,0,37,RP
Yu Darvish,CHC,NL,9,29,12,8,0,0,0,0,0,173,148,0,70,22,55,201,506433,13074,9,0,SP
Andrew Chafin,ARI,NL,71,0,2,2,0,0,0,0,0,35,31,0,13,3,15,38,605177,12988,0,71,RP
Luke Gregerson,STL,AL,65,0,3,3,0,0,0,0,0,65,60,0,26,6,21,64,502381,4090,0,65,RP
Robbie Ray,ARI,NL,28,29,11,9,0,0,0,0,0,168,138,0,66,19,70,209,592662,11486,28,0,SP
Nate Jones,CWS,AL,11,0,3,3,0,0,0,0,0,55,47,0,21,6,20,64,518858,4696,0,11,RP
Carl Edwards Jr.,CHC,NL,74,0,3,2,0,0,0,0,0,55,41,0,21,5,31,73,605218,13607,0,73,RP
James Paxton,SEA,AL,24,29,12,9,0,0,0,0,0,176,161,0,69,20,52,178,572020,11828,24,0,SP
Brett Cecil,STL,NL,73,0,2,2,0,0,0,0,0,45,41,0,18,5,14,46,446399,2660,0,73,RP
Wilmer Font,LAD,NL,3,10,6,4,0,0,0,0,0,85,71,0,33,12,25,100,521655,5257,0,3,RP
Kirby Yates,SD,AL,1,0,3,3,0,0,0,0,0,65,52,0,26,8,25,81,489446,9073,0,1,RP
Jose Quintana,CHC,AL,18,32,14,9,0,0,0,0,0,196,179,0,76,23,56,198,500779,11423,18,0,SP
Rubby de la Rosa,ARI,NL,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,523989,3862,0,9,SP
Joe Kelly,BOS,AL,54,0,3,2,0,0,0,0,0,55,49,0,22,6,21,58,523260,9761,0,54,SP
Keone Kela,TEX,AL,39,0,2,2,0,0,0,0,0,40,33,0,16,5,17,50,605309,14696,0,39,RP
Lance McCullers,HOU,AL,22,24,10,7,0,0,0,0,0,137,123,0,55,13,53,145,621121,14120,22,0,SP
Blake Parker,LAA,AL,71,0,4,3,0,0,0,0,0,65,54,0,25,8,22,74,453284,5224,0,71,RP
Shohei Ohtani,,,24,24,10,7,0,0,0,0,0,148,120,0,59,19,59,183,,19755,0,0,
Luis Severino,NYY,AL,31,31,14,8,0,0,0,0,0,188,164,0,75,25,58,213,622663,15890,31,0,SP
Hector Rondon,HOU,NL,61,0,4,3,0,0,0,0,0,65,58,0,27,8,21,71,444468,2391,0,61,RP
Will Smith,SF,,25,0,1,1,0,0,0,0,0,25,21,0,10,3,11,29,519293,8048,0,0,SP
Ross Stripling,LAD,NL,51,0,3,2,0,0,0,0,0,55,52,0,22,6,16,53,548389,13273,2,47,SP
Tommy Kahnle,NYY,AL,37,0,3,2,0,0,0,0,0,55,44,0,22,7,24,69,592454,11384,0,37,RP
Jeurys Familia,NYM,NL,26,0,3,3,0,0,0,0,0,65,59,0,26,6,27,65,544727,5114,0,26,RP
Brandon Morrow,CHC,NL,45,0,4,3,0,0,0,0,0,65,58,0,26,8,21,68,453344,9346,0,45,SP
Tommy Hunter,PHI,AL,61,0,3,3,0,0,0,0,0,55,50,0,22,7,16,58,488984,1157,0,61,SP
Boone Logan,MIL,AL,38,0,2,2,0,0,0,0,0,40,34,0,16,5,17,49,457429,5525,0,38,RP
Drew Smyly,CHC,,10,0,1,0,0,0,0,0,0,10,9,0,4,1,3,11,592767,11760,0,0,SP
Aaron Nola,PHI,NL,27,29,11,10,0,0,0,0,0,180,167,0,75,23,51,187,605400,16149,27,0,SP
Zack Greinke,ARI,NL,33,32,13,10,0,0,0,0,0,203,194,0,84,25,52,195,425844,1943,32,0,SP
Alex Wood,LAD,NL,27,23,9,7,0,0,0,0,0,131,123,0,51,15,38,125,622072,13781,25,2,SP
Carlos Martinez,STL,NL,34,32,13,10,0,0,0,0,0,202,190,0,84,21,72,203,593372,11682,32,0,SP
