playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Edwin Diaz,NYM,AL,73,0,3,3,0,0,0,0,0,68,44,0,19,6,21,104,621242,14710,0,73,Catcher
Aroldis Chapman,NYY,AL,55,0,3,2,0,0,0,0,0,59,37,0,18,5,28,94,547973,10233,0,55,Designated Hitter
Chris Sale,BOS,AL,27,28,14,6,0,0,0,0,0,177,134,0,54,18,38,240,519242,10603,27,0,SP
Dellin Betances,NYY,AL,66,0,4,3,0,0,0,0,0,66,43,0,21,6,29,110,476454,6216,0,66,RP
Craig Kimbrel,BOS,AL,63,0,4,2,0,0,0,0,0,62,39,0,19,6,26,97,518886,6655,0,63,RP
Felipe Vazquez,PIT,NL,70,0,3,2,0,0,0,0,0,70,54,0,21,5,23,86,553878,12076,0,70,Catcher
Jacob deGrom,NYM,NL,32,32,15,9,0,0,0,0,0,208,167,0,64,19,51,247,594798,10954,32,0,SP
Will Smith,SF,NL,54,0,3,3,0,0,0,0,0,56,44,0,18,5,20,73,519293,8048,0,54,Catcher
Corey Knebel,MIL,NL,57,0,3,2,0,0,0,0,0,62,45,0,21,6,27,96,608349,15010,0,57,RP
Andrew Miller,STL,AL,37,0,4,2,0,0,0,0,0,59,44,0,19,5,20,83,453192,6785,0,37,RP
Daniel Zamora,NYM,NL,16,0,1,1,0,0,0,0,0,30,26,0,14,3,12,44,623354,17811,0,16,RP
Sean Doolittle,WSH,NL,43,0,3,2,0,0,0,0,0,57,43,0,18,7,12,72,448281,1581,0,43,Catcher
Josh Hader,MIL,NL,55,0,4,2,0,0,0,0,0,80,51,0,24,10,33,127,623352,14212,0,55,RP|SP
Noah Syndergaard,NYM,NL,25,29,13,8,0,0,0,0,0,175,158,0,63,15,42,185,592789,11762,25,0,SP
Jeurys Familia,NYM,NL,40,0,4,3,0,0,0,0,0,62,51,0,22,4,25,70,544727,5114,0,40,RP
Ken Giles,TOR,AL,34,0,2,3,0,0,0,0,0,63,57,0,25,7,18,79,571704,12910,0,34,Designated Hitter
Roberto Osuna,HOU,AL,23,0,3,2,0,0,0,0,0,62,51,0,23,7,12,71,532077,13764,0,23,Designated Hitter
Keone Kela,PIT,NL,16,0,3,3,0,0,0,0,0,58,44,0,21,5,22,75,605309,14696,0,16,RP
Max Scherzer,WSH,NL,35,32,16,8,0,0,0,0,0,206,154,0,68,25,53,269,453286,3137,33,0,SP
Matt Barnes,BOS,AL,62,0,4,3,0,0,0,0,0,64,51,0,25,6,28,89,598264,12863,0,62,RP
Blake Treinen,OAK,AL,68,0,5,3,0,0,0,0,0,74,59,0,22,5,24,83,595014,12572,0,68,Designated Hitter
Jose Castillo,SD,NL,37,0,3,2,0,0,0,0,0,46,35,0,18,5,17,63,620454,17169,0,37,RP
Kirby Yates,SD,NL,65,0,3,3,0,0,0,0,0,64,48,0,21,8,21,90,489446,9073,0,65,Catcher
Chad Green,NYY,AL,63,0,4,2,0,0,0,0,0,68,54,0,22,8,18,86,643338,15552,0,63,RP
Kenley Jansen,LAD,NL,69,0,3,2,0,0,0,0,0,66,51,0,22,9,14,84,445276,3096,0,69,Catcher
Jose Alvarado,TB,AL,70,0,3,3,0,0,0,0,0,61,45,0,21,4,30,75,621237,17780,0,70,Designated Hitter
Ryan Pressly,HOU,AL,26,0,3,2,0,0,0,0,0,68,56,0,24,7,21,88,519151,7005,0,26,RP
Diego Castillo,,,51,1,3,3,0,0,0,0,0,54,43,0,19,5,18,65,,sa872839,0,0,
David Robertson,PHI,AL,69,0,4,3,0,0,0,0,0,68,47,0,23,7,25,91,502085,8241,0,69,RP
